"DO NOT CHANGE CELLS WITH ""BEGIN-MATERIALS"", ""END-MATERIALS"" ETC BECAUSE THEY ARE REFERENCE POINTS FOR THE PYTHON CODE",,,,,,,,,,,,,
,,,,,,,,,,,,,
REFERENCES (some values are averaged from multiple references),,,,,,,,,,,,,
solar_cells,4200,11,493,10,,,,,56.7,10,,,"Mass of solar cells may be ignored for convenience, and it is only applied as an optical coating. density was calculated backwards from the data sheet"
MATERIALS-END,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
OPTICAL-BEGIN,,,,,,,,,,,,,
black_paint,,,,,0.95,"2, 5",0.85,"2, 5",,,,,
white_paint,,,,,0.25,"2, 5",0.9,"2, 5",,,,,
MLI,,,,,0.005,15,0.05,14,,,,,"less effective on small surfaces. Values from OBEM paper are a larger surface, so the numbers were taken conservatively"
al_unpolished,,,,,0.15,2,0.09,3,,,,,
al_polished,,,,,0.15,2,0.05,"2, 3, 6",,,,,
al_anodised,,,,,0.14,6,0.7,"3, 6",,,,,0.7 is average between sources 3 and 6
steel_unpolished,,,,,0.47,2,0.14,2,,,,,
steel_polished,,,,,0.42,2,0.11,2,,,,,
copper,,,,,0.3,2,0.03,"2, 3",,,,,
PCB_white,,,,,0.21,16,0.96,16,,,,,
PCB_black,,,,,0.94,16,0.97,16,,,,,
PCB_red,,,,,0.51,16,0.88,16,,,,,
PCB_green,,,,,0.88,17,0.7,17,,,,,sources 16 and 17 vary quite a lot
PCB_blue,,,,,0.89,17,0.9,17,,,,,
solar_cell,,,,,0.66,10,0.89,10,,,,,"absorptivity is effective (see Boxtel thesis), including the efficiency converting it to electrical energy. Absolute absorptivity is 0.91"
solar_cell_mix_black_paint,,,,,0.75,"2, 5, 10",0.88,10,,,,,a surface having mostly solar cells (67%) but also some black paint (33%)
OPTICAL-END,,,,,,,,,,,,,
,,,,,,,,,,,,,
CONTACT-BEGIN,,,,,,,,,,,,,
graphite,,,,,,,,,,,50000,13,highly dependent on applied pressure
al_al,,,,,,,,,,,2000,12,highly dependent on applied pressure. This value is on the low end (e.g. PCB spacers)
steel_steel,,,,,,,,,,,1000,12,highly dependent on applied pressure. This value is on the low end (e.g. PCB spacers)
al_steel,,,,,,,,,,,1000,12,highly dependent on applied pressure. This value is on the low end (e.g. PCB spacers)
PCB_PCB_perpendicular,,,,,,,,,,,188,7,"""equivalent"" heat transfer coefficient calculated from conductivity: h_eff = k/L = 0.3/0.0016"
CONTACT-END,,,,,,,,,,,,,
